"","name","FGA","FGM","Pts","exFGM","exPts","FGMDiff","PtsDiff"
"1","Tyreke Evans",1160,521,1111,580.155933485032,1239.9234845152,-59.1559334850322,-128.9234845152
"2","Dion Waiters",935,370,812,424.566654148962,936.441550505264,-54.566654148962,-124.441550505264
"3","Elfrid Payton",701,300,611,351.053100946269,716.967408767645,-51.0531009462687,-105.967408767645
"4","Michael Carter-Williams",915,364,764,412.86645185445,880.525597028819,-48.8664518544501,-116.525597028819
"5","Victor Oladipo",1083,471,1026,511.918719448712,1112.59169213527,-40.9187194487121,-86.5916921352689
"6","Solomon Hill",629,250,568,289.50685045013,653.106594383606,-39.5068504501295,-85.1065943836062
"7","Kemba Walker",976,377,838,416.303538693324,925.551553080202,-39.3035386933237,-87.5515530802023
"8","Luc Mbah a Moute",614,244,546,282.467589818157,639.435953667275,-38.4675898181567,-93.4359536672747
"9","Josh Smith",981,410,891,446.81869305143,977.382746167452,-36.81869305143,-86.3827461674517
"10","Trey Burke",1003,369,862,404.883250169196,942.007167903423,-35.883250169196,-80.0071679034229
"11","Nerlens Noel",638,294,588,329.446278941338,658.892557882676,-35.4462789413382,-70.8925578826763
"12","DeMarcus Cousins",1050,491,984,525.136942445745,1052.86158015943,-34.136942445745,-68.8615801594303
"13","Jerami Grant",347,122,293,155.699831970505,368.564689632088,-33.699831970505,-75.5646896320882
"14","Tony Allen",447,220,450,253.30376761724,517.793760386689,-33.3037676172405,-67.7937603866894
"15","Lance Stephenson",548,206,430,239.138500847577,514.913784649454,-33.1385008475767,-84.9137846494539
"16","Trevor Ariza",896,358,906,390.125383308648,981.555154853348,-32.1253833086478,-75.555154853348
"17","Eric Bledsoe",1040,465,1018,497.12048843513,1091.15516911525,-32.1204884351298,-73.1551691152497
"18","Omer Asik",411,212,424,242.407547705918,484.815095411835,-30.4075477059176,-60.8150954118352
"19","Joakim Noah",423,189,378,219.124490513374,438.80808250863,-30.1244905133736,-60.8080825086302
"20","Corey Brewer",789,333,728,363.003798901391,809.376527329202,-30.0037989013915,-81.3765273292022
"21","Zaza Pachulia",504,228,456,257.941247997964,517.089656802647,-29.9412479979643,-61.0896568026467
"22","Rajon Rondo",643,275,577,304.281889353864,639.939442601327,-29.2818893538635,-62.9394426013272
"23","Deron Williams",768,298,683,327.010293217871,737.904537262398,-29.0102932178714,-54.9045372623978
"24","Ish Smith",361,141,300,169.942649067554,362.238858023992,-28.9426490675544,-62.2388580239922
"25","Andre Drummond",949,491,982,518.544380143449,1038.23823443816,-27.5443801434492,-56.2382344381629
"26","Al-Farouq Aminu",355,146,326,172.841513768924,392.338699520377,-26.8415137689237,-66.338699520377
"27","Elijah Millsap",234,80,188,106.675948242358,246.646159931157,-26.6759482423585,-58.6461599311566
"28","Dante Exum",414,143,368,168.842556738977,431.77973653767,-25.8425567389773,-63.7797365376696
"29","Ramon Sessions",330,124,267,149.841220505529,320.959733000748,-25.8412205055286,-53.9597330007476
"30","Gary Harris",217,66,153,90.6882807449725,217.598283106538,-24.6882807449725,-64.5982831065383
"31","D.J. Augustin",646,258,599,282.601972354489,648.168963022177,-24.6019723544889,-49.1689630221767
"32","James Michael McAdoo",44,0,96,24.3323404058465,48.6646808116929,-24.3323404058465,47.3353191883071
"33","Vince Carter",402,133,335,156.50846044147,391.953464525305,-23.50846044147,-56.9534645253049
"34","KJ McDaniels",426,170,383,192.968379051569,439.077697031373,-22.9683790515691,-56.0776970313732
"35","Patrick Beverley",532,204,523,226.147513663677,570.481781084213,-22.1475136636772,-47.481781084213
"36","Lou Amundson",248,103,206,124.983286480564,250.247422695585,-21.9832864805636,-44.2474226955853
"37","Mario Chalmers",649,265,602,286.804531858443,658.464060069607,-21.8045318584432,-56.4640600696066
"38","Russell Westbrook",1458,624,1333,645.794611678612,1386.86027385961,-21.7946116786125,-53.8602738596057
"39","Jusuf Nurkic",380,171,342,192.388725184813,385.555733097706,-21.3887251848133,-43.5557330977059
"40","Tony Wroten",430,175,387,196.261751578296,439.588712972931,-21.2617515782965,-52.5887129729308
"41","Ryan Kelly",308,104,253,125.170468396902,299.120267354732,-21.170468396902,-46.1202673547324
"42","Dennis Schroder",664,284,620,305.124353348102,664.388768811558,-21.1243533481018,-44.388768811558
"43","Quincy Pondexter",444,171,503,191.847974957338,471.849932860408,-20.8479749573377,31.1500671395924
"44","Kostas Papanikolaou",189,65,157,85.6410857069399,209.114199104637,-20.6410857069399,-52.1141991046374
"45","Evan Turner",742,317,667,337.055567128661,718.359793841876,-20.055567128661,-51.3597938418761
"46","JJ Hickson",456,218,436,237.523732222846,475.463351189362,-19.523732222846,-39.4633511893622
"47","Lance Thomas",398,160,327,179.209576121201,366.551890528769,-19.2095761212012,-39.5518905287689
"48","Greg Monroe",851,423,846,442.14493235013,884.289864700259,-19.1449323501297,-38.2898647002594
"49","PJ Hairston",267,86,221,104.791833579522,265.413056640937,-18.7918335795222,-44.4130566409372
